,Ano,Coeficiente de Aglomeração,Ordem,Tamanho,Grau Médio,Tamanho Médio,Quantidade Arestas
1,2011,0.3958028396979323,84,131,3.119047619047619,5.526717557251908,131
2,2012,0.7979132834374945,625,17258,55.2256,1.7923861397612701,17258
3,2013,0.7235262873146914,845,5249,12.423668639053254,3.131072585254334,5249
4,2014,0.7208577274471035,922,10429,22.622559652928416,3.38018985521143,10429
5,2015,0.7278487870036189,955,6533,13.681675392670156,3.3144037961120465,6533
6,2016,0.7512193271558945,1188,7341,12.358585858585858,2.473913635744449,7341
7,2017,0.7684527400539171,1031,9809,19.028128031037827,2.2445713120603528,9809
8,2018,0.7294774981121565,656,2524,7.695121951219512,2.473851030110935,2524
9,2019,0.6781942859933627,456,1047,4.592105263157895,2.9789875835721107,1047
10,2020,0.7475020885415862,588,3423,11.642857142857142,2.378615249780894,3423
11,2021,0.380145405943589,134,161,2.4029850746268657,1.9627329192546583,161
